th01,th02,th03,th11,th12,th13,th21,th22,th23,th31,th32,th33,th41,th42,th43,?
1.4390069658521243,-0.4231418248643496,-8.52499274592537,0.7860079500626111,0.05128185262953262,17.41007699791553,-1.0708674445431483,-2.04626098942858,11.485308138828293,0.701903524035256,0.40672773242304516,18.615377660206583,0.8397238387181323,-0.9473617032794948,2.606970155103328,
1.4343773874107983,-0.424172929791808,-8.525275186821123,0.7886598168112287,0.04964634857615976,17.42558863448501,-1.0713224546528857,-2.0424977280941308,11.48157510741898,0.6996878771610686,0.4203631594639889,18.597847837575223,0.8344604233784815,-0.9544231422334787,2.6008021410228173,
1.4297244926540063,-0.4251794445159389,-8.52556076499759,0.7912771724487725,0.04791867526741088,17.44112331063844,-1.0717680046507585,-2.0387061878664055,11.477828257096885,0.697337571645726,0.4339206303792046,18.58058316771733,0.829163057715631,-0.9614479087375941,2.594639969608308,
1.4250483275695491,-0.42616102289310537,-8.52584950678701,0.7938589037458305,0.04609907008451811,17.45668243713945,-1.0722042939641583,-2.0348861465991175,11.474067418784701,0.6948628318449708,0.4473921322910816,18.563584741998792,0.8238322565431011,-0.9684355768121002,2.5884834814134905,
1.420348936838203,-0.4271173176157175,-8.526141436462582,0.7964038700776012,0.044187771790788186,17.472267437639136,-1.0726315259672528,-2.0310373769428116,11.470292421628166,0.6922735013917976,0.46077065900553993,18.546852623483634,0.818468536974875,-0.9753857211796383,2.582332515248646,
1.415626363779477,-0.42804798021629253,-8.52643657618191,0.7989109022448295,0.0421850214714658,17.48787974819703,-1.0730499080721057,-2.0271596462669197,11.466503092994962,0.6895790068115237,0.4740501555395255,18.530385950567748,0.8130724182792816,-0.9822979174498808,2.5761869082712634,
1.4108806502964562,-0.42895266107030183,-8.526734945929926,0.8013788012586279,0.04009106358111109,17.503520816740572,-1.0734596518220512,-2.023252716580536,11.462699258475512,0.6867883321251455,0.48722545640232445,18.514183040421912,0.8076444217312062,-0.9891717423019065,2.570046496079267,
1.4061118368197731,-0.42983100939774493,-8.527036563461298,0.803806337089709,0.037906147105449726,17.519192102456845,-1.0738609729873707,-2.0193163444520312,11.458880741885766,0.683910003158507,0.5002922200755863,18.498241489887167,0.8021850704627953,-0.9960067736641959,2.563911112806724,
1.401319962250649,-0.43068267326338955,-8.527341444242257,0.8061922473828815,0.035630526845131065,17.534895075107933,-1.0742540916633168,-2.0153502809274455,11.455047365272348,0.6809520802210799,0.5132468617768979,18.48255827201372,0.796694889312789,-1.0028025908921296,2.5577805912219707,
1.3965050639030114,-0.4315072995756137,-8.52764960139181,0.808535236137944,0.033264464829319426,17.55063121426184,-1.0746392323705136,-2.0113542714477943,11.451198948919995,0.6779221578329071,0.5260864862245714,18.467129826933753,0.7911744046746524,-1.0095587749428858,2.5516547628279618,
1.3916671774446796,-0.4323045340837811,-8.527961045622478,0.8108339723585223,0.03080823186754307,17.566402008429982,-1.0750166241577783,-2.0073280557652926,11.447335311361732,0.6748273702432921,0.5388088217685849,18.4519521461986,0.7856241443436511,-1.0162749085476157,2.545533457964801,
1.3868063368375931,-0.4330740213740873,-8.528275785180337,0.8130870886707968,0.028262109248733652,17.582208954101624,-1.07538650070738,-2.0032713678585883,11.443456269391719,0.6716744015835543,0.5514121569289829,18.437020850080298,0.7800446373630182,-1.0229505763808062,2.539416505914246,
1.3819225742770878,-0.4338154048638024,-8.528593825784384,0.8152931799145848,0.025626390596896045,17.598053554664965,-1.075749100442803,-1.9991839358470858,11.439561638081297,0.6684694996149679,0.5638952800968956,18.422331257639566,0.774436413869362,-1.0295853652267262,2.5333037350061054,
1.3770159201301777,-0.4345283267938462,-8.528915170565476,0.8174508017097699,0.02290138389335233,17.61393731920421,-1.076104666639003,-1.9950654819044344,11.435651230798186,0.6652184921606337,0.5762574229085349,18.407878449597774,0.7688000049374628,-1.036178864142836,2.527194972726391,
1.3720864028728479,-0.4352124282196151,-8.529239820004351,0.8195584690017287,0.020087413675995095,17.629861761160893,-1.0764534475352103,-1.9909157221713025,11.431724859229302,0.661926805438437,0.5884982075991633,18.39365732422867,0.7631359424245993,-1.042730664620117,2.52109004582706,
1.367134049026342,-0.435867348999998,-8.529567771869083,0.8216146545900962,0.017184823426453943,17.645828396847314,-1.076795696450283,-1.9867343666675297,11.427782333407317,0.6585994836354075,0.6006175984800015,18.37966264661188,0.7574447588145494,-1.0492403607401608,2.5149887804372515,
1.362158883092402,-0.43649272778449644,-8.529899021151834,0.8236177876460017,0.014193978156516966,17.661838743799372,-1.0771316719006365,-1.9825211192037948,11.42382346174139,0.6552412091780088,0.6126158575525789,18.365889091675317,0.7517269870614027,-1.0557075493289778,2.5088910021758184,
1.3571609274874803,-0.4370882019983742,-8.530233560004826,0.8255662522238222,0.011115267205540924,17.677894318955055,-1.0774616377207438,-1.9782756772929646,11.419848051052217,0.6518563232558204,0.6244935041777196,18.352331281503652,0.7459831604333187,-1.0621318301074367,2.5027965362650595,
1.3521402024758673,-0.43765340782576256,-8.530571377675525,0.8274583857744509,0.007949107260914405,17.693996636644982,-1.0777858631862303,-1.9739977320612487,11.415855906611919,0.6484488462469239,0.6362512786455193,18.338983817413773,0.7402138123563654,-1.0685128058382254,2.4967052076455007,
1.347096726101743,-0.4381879801906308,-8.53091246044101,0.8292924776682125,0.004695945613891805,17.710147206379684,-1.0781046231395461,-1.9696869681593756,11.411846832189017,0.6450224977717857,0.6478901094437248,18.325841307300493,0.7344194762585742,-1.0748500824692933,2.4906168410915375,
1.3420305141200988,-0.4386915527355479,-8.531256791541558,0.8310667677367264,0.0013562636632701523,17.72634753041914,-1.0784181981181933,-1.965343063673971,11.407820630098804,0.6415807161692075,0.6594110839906987,18.312898388745324,0.7286006854143288,-1.0811432692736649,2.48453126132784,
1.3369415799265396,-0.4391637577981448,-8.53160435111331,0.8327794448443762,-0.00206941932058786,17.742599101108713,-1.0787268744855103,-1.9609656900393775,11.40377710125979,0.6381266772437655,0.6708154225818486,18.300149748357207,0.7227579727892203,-1.0873919789855735,2.47844829314634,
1.3318299344859177,-0.439604226385196,-8.531955116119962,0.8344286455014848,-0.005580542158998387,17.75890339796559,-1.0790309445639648,-1.9565545119501577,11.399716045256284,0.6346633121802231,0.6821044552918876,18.287590137786573,0.7168918708854795,-1.093595827932863,2.4723677615236848,
1.3266955862597802,-0.4400125881442211,-8.532309060283604,0.8360124525328575,-0.009176497443379622,17.77526188450005,-1.0793307067709026,-1.9521091872745664,11.395637260407987,0.6311933245578175,0.693279601576735,18.275214386819673,0.7110029115881141,-1.0997544361655598,2.466289491738957,
1.3215385411326084,-0.4403884713325296,-8.532666154014438,0.8375288938170797,-0.012856626917275663,17.791676004755185,-1.079626465756723,-1.9476293669692857,11.391540543846753,0.627719206427269,0.7043423523261958,18.263017413926395,0.7050916260118631,-1.1058674275805918,2.4602133094915564,
1.316358802336796,-0.4407315027836045,-8.533026364339522,0.8389759411137674,-0.016620216551165405,17.80814717954975,-1.0799185325453757,-1.9431146949957823,11.387425691601214,0.6242432534369343,0.7152942541298584,18.250994234598455,0.6991585443490644,-1.1119344300425709,2.454139041019089,
1.3111563703763662,-0.44104130787073287,-8.533389654830371,0.8403515089979365,-0.020466491300296312,17.824676802408625,-1.0802072246771137,-1.9385648082386389,11.383292498689988,0.6207675790127674,0.7261368955325637,18.23913996778141,0.6932041957185607,-1.117955075500602,2.4480665132150734,
1.3059312429493726,-0.44131751046778467,-8.533755985529371,0.8416534539226961,-0.024394609537176773,17.84126623516659,-1.0804928663533755,-1.9339793364262934,11.379140759223668,0.617294127610532,0.7368718950712487,18.2274498406703,0.6872291080157344,-1.1239290001010824,2.4419955537463855,
1.3006834148689495,-0.44155973290703987,-8.534125312875009,0.842879573433671,-0.02840365715214125,17.857916803232058,-1.0807757885836948,-1.9293579020546314,11.374970266516728,0.6138246870688739,0.7475008909011123,18.21591919210847,0.681233807763771,-1.12985584429643,2.435925991170232,
1.2954128779829994,-0.44176759593396053,-8.534497589625822,0.8440276055607582,-0.032492641317620995,17.874629790499238,-1.0810563293344468,-1.9247001203139273,11.370780813209713,0.6103609000990433,0.7580255318352538,18.204543474800897,0.6752188199662507,-1.1357352529497082,2.429857655050548,
1.2901196210924346,-0.4419407186588018,-8.534872764782955,0.8450952284151699,-0.036660483914463415,17.891406433898524,-1.081334833679303,-1.9200055990196916,11.366572191402682,0.6069042749519143,0.7684474696378151,18.19331825652641,0.6691846679611488,-1.141566875435111,2.4237903760736716,
1.284803629867974,-0.4420787185049524,-8.535250783511346,0.8460800600219865,-0.0409060146218979,17.90824791757877,-1.081611653951158,-1.9152739385480362,11.362344192800489,0.6034561953058957,0.7787683524258705,18.182239220510976,0.6631318732763455,-1.1473503657342796,2.4177239861631246,
1.2794648867654157,-0.44218121115389064,-8.535631587059399,0.8469796584207838,-0.045227963676601604,17.925155366716638,-1.0818871498952796,-1.9105047317761883,11.35809660887094,0.6000179294208358,0.7889898190496626,18.171302165102396,0.6570609554867133,-1.1530853825284324,2.4116583185934037,
1.2741033709393859,-0.44224781048664874,-8.536015112677065,0.8477915220691069,-0.04962495431082137,17.94212984095366,-1.0821616888234655,-1.9056975640289298,11.353829231016686,0.5965906386033968,0.7991134943342012,18.160503002868175,0.650972432072869,-1.1587715892862516,2.4055932081026232,
1.2687190581554564,-0.4422781285216581,-8.536401293532384,0.8485130905856432,-0.054095494884709994,17.95917232746494,-1.0824356457688509,-1.900852013031698,11.349541850761812,0.5931753850288892,0.8091409850775871,18.14983775922166,0.6448668182816616,-1.1644086543475571,2.3995284910038595,
1.263311920700624,-0.4422717753488605,-8.536790058626124,0.8491417458718357,-0.0586379707339669,17.976283733669362,-1.082709403641036,-1.8959676488712567,11.345234259954145,0.5897731389634825,0.8190738767128146,18.13930257066671,0.6387446269884686,-1.1699962510026976,2.3934640052951117,
1.2578819272920791,-0.4422283590599558,-8.537181332704739,0.8496748136522467,-0.063250635760569,17.99346487959728,-1.0829833533811406,-1.8910440339648744,11.34090625098444,0.5863847854291028,0.828913730550071,18.128893682738866,0.63260636856136,-1.175534057567687,2.3873995907677172,
1.2524290429842126,-0.44214748567466,-8.5375750361713,0.8501095654751399,-0.06793160380184049,18.010716489938677,-1.083257894116331,-1.8860807230390508,11.336557617023624,0.5830111303515308,0.8386620815259662,18.118607447708428,0.6264525507272019,-1.18102175745506,2.381335089113099,
1.2469532290737986,-0.44202875906284234,-8.537971084994494,0.8504432212154126,-0.07267883982133642,18.028039185802378,-1.08353343331332,-1.8810772631189165,11.332188152279285,0.579652906230097,0.8483204363945024,18.10844032210242,0.6202836784397527,-1.1864590392404426,2.37527034402775,
